year,division,district,crime type,cases
2011,Hazara ,Abbottabad,Murder,76
2011,Hazara ,Abbottabad,Kids:Ransom,0
2011,Hazara ,Abbottabad,Child Lifting,3
2011,Hazara ,Abbottabad,Abduction,127
2011,Hazara ,Abbottabad,Car Theft,5
2011,Hazara ,Abbottabad,Car Snatching,3
2011,Hazara ,Abbottabad,M.Cycle Theft,8
2011,Bannu,Bannu,Murder,177
2011,Bannu,Bannu,Kids:Ransom,2
2011,Bannu,Bannu,Child Lifting,4
2011,Bannu,Bannu,Abduction,7
2011,Bannu,Bannu,Car Theft,0
2011,Bannu,Bannu,Car Snatching,1
2011,Bannu,Bannu,M.Cycle Theft,2
2011,Hazara ,Battagram,Murder,28
2011,Hazara ,Battagram,Kids:Ransom,1
2011,Hazara ,Battagram,Child Lifting,0
2011,Hazara ,Battagram,Abduction,17
2011,Hazara ,Battagram,Car Theft,2
2011,Hazara ,Battagram,Car Snatching,0
2011,Hazara ,Battagram,M.Cycle Theft,0
2011,Malakand,Buner,Murder,59
2011,Malakand,Buner,Kids:Ransom,0
2011,Malakand,Buner,Child Lifting,0
2011,Malakand,Buner,Abduction,6
2011,Malakand,Buner,Car Theft,0
2011,Malakand,Buner,Car Snatching,0
2011,Malakand,Buner,M.Cycle Theft,1
2011,Peshawar,Charsadda,Murder,251
2011,Peshawar,Charsadda,Kids:Ransom,6
2011,Peshawar,Charsadda,Child Lifting,0
2011,Peshawar,Charsadda,Abduction,33
2011,Peshawar,Charsadda,Car Theft,13
2011,Peshawar,Charsadda,Car Snatching,12
2011,Peshawar,Charsadda,M.Cycle Theft,12
2011,Malakand,Chitral,Murder,13
2011,Malakand,Chitral,Kids:Ransom,0
2011,Malakand,Chitral,Child Lifting,0
2011,Malakand,Chitral,Abduction,8
2011,Malakand,Chitral,Car Theft,2
2011,Malakand,Chitral,Car Snatching,0
2011,Malakand,Chitral,M.Cycle Theft,0
2011,D.I.Khan,D.I. Khan,Murder,148
2011,D.I.Khan,D.I. Khan,Kids:Ransom,6
2011,D.I.Khan,D.I. Khan,Child Lifting,0
2011,D.I.Khan,D.I. Khan,Abduction,34
2011,D.I.Khan,D.I. Khan,Car Theft,1
2011,D.I.Khan,D.I. Khan,Car Snatching,3
2011,D.I.Khan,D.I. Khan,M.Cycle Theft,10
2011,Malakand,Dir Lower,Murder,60
2011,Malakand,Dir Lower,Kids:Ransom,2
2011,Malakand,Dir Lower,Child Lifting,2
2011,Malakand,Dir Lower,Abduction,13
2011,Malakand,Dir Lower,Car Theft,2
2011,Malakand,Dir Lower,Car Snatching,0
2011,Malakand,Dir Lower,M.Cycle Theft,4
2011,Malakand,Dir Upper,Murder,76
2011,Malakand,Dir Upper,Kids:Ransom,1
2011,Malakand,Dir Upper,Child Lifting,0
2011,Malakand,Dir Upper,Abduction,5
2011,Malakand,Dir Upper,Car Theft,2
2011,Malakand,Dir Upper,Car Snatching,0
2011,Malakand,Dir Upper,M.Cycle Theft,2
2011,Kohat,Hangu,Murder,123
2011,Kohat,Hangu,Kids:Ransom,1
2011,Kohat,Hangu,Child Lifting,0
2011,Kohat,Hangu,Abduction,5
2011,Kohat,Hangu,Car Theft,0
2011,Kohat,Hangu,Car Snatching,0
2011,Kohat,Hangu,M.Cycle Theft,0
2011,Hazara ,Haripur,Murder,82
2011,Hazara ,Haripur,Kids:Ransom,2
2011,Hazara ,Haripur,Child Lifting,0
2011,Hazara ,Haripur,Abduction,43
2011,Hazara ,Haripur,Car Theft,5
2011,Hazara ,Haripur,Car Snatching,0
2011,Hazara ,Haripur,M.Cycle Theft,4
2011,Kohat,Karak,Murder,63
